CSV原始POD值,运输类型,出现次数,对应Reference Number（前5个）,建议操作：请提供正确的Air Port代码
Suzhou city,Air Port,1,CN2511512-A,请填写正确的Air Port代码（如 IATA 3字母代码）
MSP,Air Port,1,CN2511517-A,请填写正确的Air Port代码（如 IATA 3字母代码）
231400 TONGCHENG,Air Port,1,CN2511569-A,请填写正确的Air Port代码（如 IATA 3字母代码）
NSW 2161,Air Port,1,CN2511599-A,请填写正确的Air Port代码（如 IATA 3字母代码）
HAJ,Air Port,1,CN2511645-A,请填写正确的Air Port代码（如 IATA 3字母代码）
MEM,Air Port,1,CN2511666-A,请填写正确的Air Port代码（如 IATA 3字母代码）
SAP,Air Port,1,CN2511708-A,请填写正确的Air Port代码（如 IATA 3字母代码）
SIN,Air Port,1,CN2512082-A,请填写正确的Air Port代码（如 IATA 3字母代码）
Nansha District,Air Port,1,CN2512152-A,请填写正确的Air Port代码（如 IATA 3字母代码）
TRI,Air Port,1,CN2512197-AS,请填写正确的Air Port代码（如 IATA 3字母代码）
Beijing 100061,Air Port,1,CN2512325-A,请填写正确的Air Port代码（如 IATA 3字母代码）
SVO,Air Port,1,CN2512360-A,请填写正确的Air Port代码（如 IATA 3字母代码）
Ziegler HONG KONG Warehouse,Air Port,1,CN2512361-A,请填写正确的Air Port代码（如 IATA 3字母代码）
Pinghu City,Air Port,1,CN2512364-A,请填写正确的Air Port代码（如 IATA 3字母代码）
"TSUEN WAN, HK",Air Port,1,CN2512469-A,请填写正确的Air Port代码（如 IATA 3字母代码）
Shenzhen 518103,Air Port,1,CN2512564-A,请填写正确的Air Port代码（如 IATA 3字母代码）
KOWLOON HONG KONG,Air Port,1,CN2512576-A,请填写正确的Air Port代码（如 IATA 3字母代码）
Nanjing city,Air Port,1,CN2512637-A,请填写正确的Air Port代码（如 IATA 3字母代码）
MCI,Air Port,1,CN2512720-A,请填写正确的Air Port代码（如 IATA 3字母代码）
SEA,Air Port,1,CN2601076-A,请填写正确的Air Port代码（如 IATA 3字母代码）
ADB,Air Port,1,CN2601094-A,请填写正确的Air Port代码（如 IATA 3字母代码）
Mianyang city,Air Port,1,CN2601282-A,请填写正确的Air Port代码（如 IATA 3字母代码）
SDF,Air Port,1,CN2601328-AS,请填写正确的Air Port代码（如 IATA 3字母代码）
LOUISVILLE,Air Port,1,CN2601328-AS1,请填写正确的Air Port代码（如 IATA 3字母代码）
CDK,Air Port,1,CN2601518-A,请填写正确的Air Port代码（如 IATA 3字母代码）
GYD,Air Port,1,CN2601520-A,请填写正确的Air Port代码（如 IATA 3字母代码）
354105 Nanping City,Air Port,1,CN2601546-A,请填写正确的Air Port代码（如 IATA 3字母代码）
"412200 LILING,HUNAN PROVINCE",Air Port,1,CN2601574-A,请填写正确的Air Port代码（如 IATA 3字母代码）
MBA,Air Port,1,CN2601607-A,请填写正确的Air Port代码（如 IATA 3字母代码）
ZAG,Air Port,1,CN2601703-A,请填写正确的Air Port代码（如 IATA 3字母代码）
MAM,Air Port,1,CN2601733-A,请填写正确的Air Port代码（如 IATA 3字母代码）
CLE,Air Port,1,CN2602008-A,请填写正确的Air Port代码（如 IATA 3字母代码）
HND,Air Port,1,CN2602081-A,请填写正确的Air Port代码（如 IATA 3字母代码）
CVG,Air Port,1,CN2602132-A,请填写正确的Air Port代码（如 IATA 3字母代码）
ZHUHAI city,Air Port,1,CN2602158-A,请填写正确的Air Port代码（如 IATA 3字母代码）
Leshan City,Air Port,1,CN2602167-A,请填写正确的Air Port代码（如 IATA 3字母代码）
MLA,Air Port,1,CN2602179-A,请填写正确的Air Port代码（如 IATA 3字母代码）
