row_num,reference,cargo_ready_date,handling
439,CN2401410-S,TBA,"→ 写为 NULL（raw_text 保留原值 ""TBA""）"
440,CN2401411-S,TBA,"→ 写为 NULL（raw_text 保留原值 ""TBA""）"
441,CN2401412-S,TBA,"→ 写为 NULL（raw_text 保留原值 ""TBA""）"
449,CN2401420-S,TBA,"→ 写为 NULL（raw_text 保留原值 ""TBA""）"
450,CN2401421-S,TBA,"→ 写为 NULL（raw_text 保留原值 ""TBA""）"
451,CN2401422-S,TBA,"→ 写为 NULL（raw_text 保留原值 ""TBA""）"
453,CN2401424-A,TBA,"→ 写为 NULL（raw_text 保留原值 ""TBA""）"
454,CN2401425-A,TBA,"→ 写为 NULL（raw_text 保留原值 ""TBA""）"
455,CN2401426-A,TBA,"→ 写为 NULL（raw_text 保留原值 ""TBA""）"
456,CN2401427-A,TBA,"→ 写为 NULL（raw_text 保留原值 ""TBA""）"
458,CN2401429-A1,TBA,"→ 写为 NULL（raw_text 保留原值 ""TBA""）"
459,CN2401429-A2,TBA,"→ 写为 NULL（raw_text 保留原值 ""TBA""）"
460,CN2401430-A,TBA,"→ 写为 NULL（raw_text 保留原值 ""TBA""）"
461,CN2401431-A,TBA,"→ 写为 NULL（raw_text 保留原值 ""TBA""）"
462,CN2401432-A,TBA,"→ 写为 NULL（raw_text 保留原值 ""TBA""）"
465,CN2401434-A,TBA,"→ 写为 NULL（raw_text 保留原值 ""TBA""）"
467,CN2401436-A,TBA,"→ 写为 NULL（raw_text 保留原值 ""TBA""）"
469,CN2401438-S,TBA,"→ 写为 NULL（raw_text 保留原值 ""TBA""）"
474,CN2401442-S,TBA,"→ 写为 NULL（raw_text 保留原值 ""TBA""）"
475,CN2401443-S,TBA,"→ 写为 NULL（raw_text 保留原值 ""TBA""）"
481,CN2401449-S,TBA,"→ 写为 NULL（raw_text 保留原值 ""TBA""）"
482,CN2401450-A,TBA,"→ 写为 NULL（raw_text 保留原值 ""TBA""）"
483,CN2401451-A,TBA,"→ 写为 NULL（raw_text 保留原值 ""TBA""）"
484,CN2401452-A,TBA,"→ 写为 NULL（raw_text 保留原值 ""TBA""）"
485,CN2401453-A,TBA,"→ 写为 NULL（raw_text 保留原值 ""TBA""）"
486,CN2401454-A,TBA,"→ 写为 NULL（raw_text 保留原值 ""TBA""）"
487,CN2401455-A,TBA,"→ 写为 NULL（raw_text 保留原值 ""TBA""）"
488,CN2401456-A,TBA,"→ 写为 NULL（raw_text 保留原值 ""TBA""）"
489,CN2401457-A,TBA,"→ 写为 NULL（raw_text 保留原值 ""TBA""）"
490,CN2401458-A,TBA,"→ 写为 NULL（raw_text 保留原值 ""TBA""）"
491,CN2401459-A,TBA,"→ 写为 NULL（raw_text 保留原值 ""TBA""）"
492,CN2401460-A,TBA,"→ 写为 NULL（raw_text 保留原值 ""TBA""）"
494,CN2401462-A,TBA,"→ 写为 NULL（raw_text 保留原值 ""TBA""）"
495,CN2401463-A,TBA,"→ 写为 NULL（raw_text 保留原值 ""TBA""）"
496,CN2401464-A,TBA,"→ 写为 NULL（raw_text 保留原值 ""TBA""）"
502,CN2401470-S,TBA,"→ 写为 NULL（raw_text 保留原值 ""TBA""）"
503,CN2401471-S,TBA,"→ 写为 NULL（raw_text 保留原值 ""TBA""）"
504,CN2401472-S,TBA,"→ 写为 NULL（raw_text 保留原值 ""TBA""）"
505,CN2401473-S,TBA,"→ 写为 NULL（raw_text 保留原值 ""TBA""）"
507,CN2401475-S,TBA,"→ 写为 NULL（raw_text 保留原值 ""TBA""）"
509,CN2401477-A,TBA,"→ 写为 NULL（raw_text 保留原值 ""TBA""）"
511,CN2401479-S,TBA,"→ 写为 NULL（raw_text 保留原值 ""TBA""）"
513,CN2401481-A,TBA,"→ 写为 NULL（raw_text 保留原值 ""TBA""）"
514,CN2401482-S,TBA,"→ 写为 NULL（raw_text 保留原值 ""TBA""）"
516,CN2401484-A,TBA,"→ 写为 NULL（raw_text 保留原值 ""TBA""）"
517,CN2401485-A,TBA,"→ 写为 NULL（raw_text 保留原值 ""TBA""）"
518,CN2401486-S,TBA,"→ 写为 NULL（raw_text 保留原值 ""TBA""）"
519,CN2401487-A,TBA,"→ 写为 NULL（raw_text 保留原值 ""TBA""）"
521,CN2401489-A,TBA,"→ 写为 NULL（raw_text 保留原值 ""TBA""）"
522,CN2401490-A,TBA,"→ 写为 NULL（raw_text 保留原值 ""TBA""）"
523,CN2401491-A,TBA,"→ 写为 NULL（raw_text 保留原值 ""TBA""）"
524,CN2401492-A,TBA,"→ 写为 NULL（raw_text 保留原值 ""TBA""）"
525,CN2401493-A,TBA,"→ 写为 NULL（raw_text 保留原值 ""TBA""）"
526,CN2401494-A,TBA,"→ 写为 NULL（raw_text 保留原值 ""TBA""）"
530,CN2401498-S,TBA,"→ 写为 NULL（raw_text 保留原值 ""TBA""）"
533,CN2401501-S,TBA,"→ 写为 NULL（raw_text 保留原值 ""TBA""）"
534,CN2401502-S1,TBA,"→ 写为 NULL（raw_text 保留原值 ""TBA""）"
535,CN2401502-S2,TBA,"→ 写为 NULL（raw_text 保留原值 ""TBA""）"
536,CN2401503-S,TBA,"→ 写为 NULL（raw_text 保留原值 ""TBA""）"
537,CN2401504-S,TBA,"→ 写为 NULL（raw_text 保留原值 ""TBA""）"
538,CN2401505-A,TBA,"→ 写为 NULL（raw_text 保留原值 ""TBA""）"
541,CN2401508-A,TBA,"→ 写为 NULL（raw_text 保留原值 ""TBA""）"
542,CN2401509-A,TBA,"→ 写为 NULL（raw_text 保留原值 ""TBA""）"
543,CN2401510-A,TBA,"→ 写为 NULL（raw_text 保留原值 ""TBA""）"
544,CN2401511-S,TBA,"→ 写为 NULL（raw_text 保留原值 ""TBA""）"
548,CN2401515-A,TBA,"→ 写为 NULL（raw_text 保留原值 ""TBA""）"
549,CN2401516-A,TBA,"→ 写为 NULL（raw_text 保留原值 ""TBA""）"
550,CN2401517-A,TBA,"→ 写为 NULL（raw_text 保留原值 ""TBA""）"
