row_num,reference,unit_raw,quantity,teu,container_codes,resolution,method
3825,CN2406499-S2,20'GP/40'GP,,,"20GP,40GP","[('20GP', 1), ('40GP', 1)]",fallback
3848,CN2406521-S,20'GP/40'HQ,2.0,3,"20GP,40HQ","[('20GP', 1), ('40HQ', 1)]",exact
3866,CN2406539-S1,20'GP/40'GP/40'HQ,,,"20GP,40GP,40HQ","[('20GP', 1), ('40GP', 1), ('40HQ', 1)]",fallback
3867,CN2406539-S2,20'GP/40'GP/40'HQ,,,"20GP,40GP,40HQ","[('20GP', 1), ('40GP', 1), ('40HQ', 1)]",fallback
3868,CN2406539-S3,20'GP/40'GP/40'HQ,,,"20GP,40GP,40HQ","[('20GP', 1), ('40GP', 1), ('40HQ', 1)]",fallback
3869,CN2406539-S4,20'GP/40'GP/40'HQ,,,"20GP,40GP,40HQ","[('20GP', 1), ('40GP', 1), ('40HQ', 1)]",fallback
3923,CN2407030-S,20'GP/40'GP,,,"20GP,40GP","[('20GP', 1), ('40GP', 1)]",fallback
3931,CN2407038-S,20'GP/40'GP/40'HQ,,,"20GP,40GP,40HQ","[('20GP', 1), ('40GP', 1), ('40HQ', 1)]",fallback
3934,CN2407040-AS1,20'GP/40'GP,,,"20GP,40GP","[('20GP', 1), ('40GP', 1)]",fallback
3936,CN2407041-S,20'OT/40'OT,4.0,7,"20OT,40OT","[('20OT', 1), ('40OT', 3)]",exact
3937,CN2407042-S1,20'GP/40'GP/40'HQ,,,"20GP,40GP,40HQ","[('20GP', 1), ('40GP', 1), ('40HQ', 1)]",fallback
3938,CN2407042-S2,20'GP/40'GP/40'HQ,,,"20GP,40GP,40HQ","[('20GP', 1), ('40GP', 1), ('40HQ', 1)]",fallback
3941,CN2407045-S,20'GP/40'HQ,2.0,3,"20GP,40HQ","[('20GP', 1), ('40HQ', 1)]",exact
3991,CN2407087-S1,20'GP/40'GP/40'HQ,,,"20GP,40GP,40HQ","[('20GP', 1), ('40GP', 1), ('40HQ', 1)]",fallback
3992,CN2407087-S2,20'GP/40'GP/40'HQ,,,"20GP,40GP,40HQ","[('20GP', 1), ('40GP', 1), ('40HQ', 1)]",fallback
3998,CN2407093-S,20'GP/40'GP/40'HQ,,,"20GP,40GP,40HQ","[('20GP', 1), ('40GP', 1), ('40HQ', 1)]",fallback
4001,CN2407096-S,20'GP/40'HQ,2.0,3,"20GP,40HQ","[('20GP', 1), ('40HQ', 1)]",exact
4032,CN2407126-S1,40'GP/40'HQ,,,"40GP,40HQ","[('40GP', 1), ('40HQ', 1)]",fallback
4033,CN2407126-S2,40'GP/40'HQ,,,"40GP,40HQ","[('40GP', 1), ('40HQ', 1)]",fallback
4034,CN2407126-S3,40'GP/40'HQ,,,"40GP,40HQ","[('40GP', 1), ('40HQ', 1)]",fallback
4057,CN2407147-S,20'GP/40'HQ,2.0,3,"20GP,40HQ","[('20GP', 1), ('40HQ', 1)]",exact
4082,CN2407171-S,20'GP/40'HQ,2.0,3,"20GP,40HQ","[('20GP', 1), ('40HQ', 1)]",exact
4087,CN2407176-S1,20'GP/40'HQ,,,"20GP,40HQ","[('20GP', 1), ('40HQ', 1)]",fallback
4088,CN2407176-S2,20'GP/40'HQ,,,"20GP,40HQ","[('20GP', 1), ('40HQ', 1)]",fallback
4145,CN2407228-S1,40'GP/40'HQ,7.0,14,"40GP,40HQ","[('40GP', 4), ('40HQ', 3)]",equal
4206,CN2407281-S,20'GP/40'GP,,,"20GP,40GP","[('20GP', 1), ('40GP', 1)]",fallback
4228,CN2407300-S,20'GP/40'HQ,2.0,3,"20GP,40HQ","[('20GP', 1), ('40HQ', 1)]",exact
4240,CN2407309-S,20'GP/40'GP/40HQ,,,"20GP,40GP,40HQ","[('20GP', 1), ('40GP', 1), ('40HQ', 1)]",fallback
4264,CN2407333-S,20'GP/40'HQ,,,"20GP,40HQ","[('20GP', 1), ('40HQ', 1)]",fallback
4272,CN2407341-S,40'OT/40'HQ,4.0,8,"40OT,40HQ","[('40OT', 2), ('40HQ', 2)]",equal
4291,CN2407360-S,20'GP/40'HQ,,,"20GP,40HQ","[('20GP', 1), ('40HQ', 1)]",fallback
4319,CN2407387-S,20'GP/40'GP,,,"20GP,40GP","[('20GP', 1), ('40GP', 1)]",fallback
4321,CN2407389-S,20'GP/40'HQ,2.0,3,"20GP,40HQ","[('20GP', 1), ('40HQ', 1)]",exact
4335,CN2407403-S1,20'GP/40'HQ,,,"20GP,40HQ","[('20GP', 1), ('40HQ', 1)]",fallback
4336,CN2407403-S2,20'GP/40'HQ,,,"20GP,40HQ","[('20GP', 1), ('40HQ', 1)]",fallback
4337,CN2407403-S3,20'GP/40'HQ,,,"20GP,40HQ","[('20GP', 1), ('40HQ', 1)]",fallback
4389,CN2407449-S1,20'GP/40'HQ,2.0,3,"20GP,40HQ","[('20GP', 1), ('40HQ', 1)]",exact
4390,CN2407449-S2,20'GP/40'HQ,2.0,3,"20GP,40HQ","[('20GP', 1), ('40HQ', 1)]",exact
4411,CN2407469-S,20'GP/40'HQ,2.0,3,"20GP,40HQ","[('20GP', 1), ('40HQ', 1)]",exact
4417,CN2407474-S,20'GP/45'HQ,2.0,3,"20GP,45HQ","[('20GP', 1), ('45HQ', 1)]",exact
4432,CN2407489-S1,20'GP/40'GP,,,"20GP,40GP","[('20GP', 1), ('40GP', 1)]",fallback
4433,CN2407489-S2,20'GP/40'GP,,,"20GP,40GP","[('20GP', 1), ('40GP', 1)]",fallback
4434,CN2407489-S3,20'GP/40'GP,,,"20GP,40GP","[('20GP', 1), ('40GP', 1)]",fallback
4435,CN2407489-S4,20'GP/40'GP,,,"20GP,40GP","[('20GP', 1), ('40GP', 1)]",fallback
4438,CN2407492-S1,20'GP/40'GP/40'HQ,,,"20GP,40GP,40HQ","[('20GP', 1), ('40GP', 1), ('40HQ', 1)]",fallback
4439,CN2407492-S2,20'GP/40'GP/40'HQ,,,"20GP,40GP,40HQ","[('20GP', 1), ('40GP', 1), ('40HQ', 1)]",fallback
4440,CN2407492-S3,20'GP/40'GP/40'HQ,,,"20GP,40GP,40HQ","[('20GP', 1), ('40GP', 1), ('40HQ', 1)]",fallback
4441,CN2407492-S4,20'GP/40'GP/40'HQ,,,"20GP,40GP,40HQ","[('20GP', 1), ('40GP', 1), ('40HQ', 1)]",fallback
4465,CN2408015.-S,20'GP/40'GP/40'HQ,,,"20GP,40GP,40HQ","[('20GP', 1), ('40GP', 1), ('40HQ', 1)]",fallback
4480,CN2408030-S,20'GP/40'GP,14.0,27,"20GP,40GP","[('20GP', 1), ('40GP', 13)]",exact
4481,CN2408031-S,20'GP/40'GP,14.0,27,"20GP,40GP","[('20GP', 1), ('40GP', 13)]",exact
4520,CN2408070-S1,20'GP/40'HQ,2.0,3,"20GP,40HQ","[('20GP', 1), ('40HQ', 1)]",exact
4521,CN2408070-S2,20'GP/40'HQ,2.0,3,"20GP,40HQ","[('20GP', 1), ('40HQ', 1)]",exact
4522,CN2408070-S3,20'GP/40'HQ,2.0,3,"20GP,40HQ","[('20GP', 1), ('40HQ', 1)]",exact
4536,CN2408084-S,20'GP/40'HQ,17.0,33,"20GP,40HQ","[('20GP', 1), ('40HQ', 16)]",exact
4563,CN2408111-S,20'GP/40'GP,,,"20GP,40GP","[('20GP', 1), ('40GP', 1)]",fallback
4569,CN2408116-S,20'GP/40'HQ,2.0,3,"20GP,40HQ","[('20GP', 1), ('40HQ', 1)]",exact
4588,CN2408135-S,20'OT/40'HQ,2.0,3,"20OT,40HQ","[('20OT', 1), ('40HQ', 1)]",exact
4616,CN2408157-S,20'GP/40'GP/40'HQ,,,"20GP,40GP,40HQ","[('20GP', 1), ('40GP', 1), ('40HQ', 1)]",fallback
4617,CN2408158-S,20'GP/40'GP,,,"20GP,40GP","[('20GP', 1), ('40GP', 1)]",fallback
4624,CN2408165-S1,20'GP/40'GP/40'HQ,,,"20GP,40GP,40HQ","[('20GP', 1), ('40GP', 1), ('40HQ', 1)]",fallback
